Mu 0.045, Eta 6.0, Gamma 1.5 -        INCE: Exact -      mnist [K0-beta (  5,  0.00), alpha 1] - 98.68 +- 0.05
Mu 0.04 , Eta 6.0, Gamma 1.5 -   INCE: UpperBound -        stl [K0-beta (  5,  0.00), alpha 1] - 94.44 +- 0.11
Mu 0.04 , Eta 6.0, Gamma 1.5 -   INCE: UpperBound -   omniglot [K0-beta (  7,  0.00), alpha 0] - 24.75 +- 1.10
Mu 0.04 , Eta 6.0, Gamma 1.5 -   INCE: UpperBound -       svhn [K0-beta ( 10,  0.00), alpha 1] - 60.89 +- 3.04
Mu 0.04 , Eta 6.0, Gamma 1.5 -   INCE: UpperBound -   cifar100 [K0-beta (  7,  0.00), alpha 2] - 27.73 +- 0.40
Mu 0.04 , Eta 6.0, Gamma 1.5 -   INCE: UpperBound -    cifar10 [K0-beta ( 15,  0.00), alpha 0] - 50.34 +- 2.10
Mu 0.04 , Eta 6.0, Gamma 1.5 -   INCE: UpperBound - reuters10k [K0-beta ( 50,  0.67), alpha 1] - 72.26 +- 2.35
Mu 0.04 , Eta 6.0, Gamma 1.5 -   INCE: UpperBound -      mnist [K0-beta (  5,  0.00), alpha 1] - 98.66 +- 0.05
Mu 0.05 , Eta 5.0, Gamma 1.5 -   INCE: UpperBound -        stl [K0-beta (  7,  0.00), alpha 1] - 94.33 +- 0.30
Mu 0.05 , Eta 5.0, Gamma 1.5 -   INCE: UpperBound -   omniglot [K0-beta (  7,  0.00), alpha 1] - 24.80 +- 0.89
Mu 0.05 , Eta 5.0, Gamma 1.5 -   INCE: UpperBound -       svhn [K0-beta ( 10,  0.00), alpha 0] - 58.12 +- 3.10
Mu 0.05 , Eta 5.0, Gamma 1.5 -   INCE: UpperBound -   cifar100 [K0-beta (  7,  0.00), alpha 0] - 27.89 +- 0.29
Mu 0.05 , Eta 5.0, Gamma 1.5 -   INCE: UpperBound -    cifar10 [K0-beta ( 10,  0.00), alpha 0] - 48.93 +- 1.40
Mu 0.05 , Eta 5.0, Gamma 1.5 -   INCE: UpperBound - reuters10k [K0-beta ( 50,  0.80), alpha 1] - 73.21 +- 3.07
Mu 0.05 , Eta 5.0, Gamma 1.5 -   INCE: UpperBound -      mnist [K0-beta (  7,  0.00), alpha 1] - 98.14 +- 0.68
Mu 0.045, Eta 6.0, Gamma 1.5 -   INCE: UpperBound -        stl [K0-beta (  5,  0.00), alpha 0] - 94.45 +- 0.13
Mu 0.045, Eta 6.0, Gamma 1.5 -   INCE: UpperBound -   omniglot [K0-beta (  7,  0.00), alpha 0] - 24.74 +- 0.59
Mu 0.045, Eta 6.0, Gamma 1.5 -   INCE: UpperBound -       svhn [K0-beta (  7,  0.00), alpha 0] - 61.65 +- 1.89
Mu 0.045, Eta 6.0, Gamma 1.5 -   INCE: UpperBound -   cifar100 [K0-beta (  7,  0.00), alpha 0] - 27.57 +- 0.49
Mu 0.045, Eta 6.0, Gamma 1.5 -   INCE: UpperBound -    cifar10 [K0-beta ( 15,  0.00), alpha 0] - 49.94 +- 1.09
Mu 0.045, Eta 6.0, Gamma 1.5 -   INCE: UpperBound - reuters10k [K0-beta ( 50,  0.67), alpha 2] - 72.96 +- 3.65
Mu 0.045, Eta 6.0, Gamma 1.5 -   INCE: UpperBound -      mnist [K0-beta (  5,  0.00), alpha 2] - 98.55 +- 0.29
Mu 0.04 , Eta 6.0, Gamma 1.5 -  INCE: Symmetrized -     20news [K0-beta (200,  0.67), alpha 0] - 38.60 +- 2.32
Mu 0.05 , Eta 5.0, Gamma 1.5 -  INCE: Symmetrized -     20news [K0-beta (200,  0.80), alpha 2] - 38.38 +- 1.40
Mu 0.045, Eta 6.0, Gamma 1.5 -  INCE: Symmetrized -     20news [K0-beta (200,  0.67), alpha 0] - 38.58 +- 1.13
Mu 0.04 , Eta 6.0, Gamma 1.5 -        INCE: Exact -     20news [K0-beta (200,  0.67), alpha 2] - 39.48 +- 1.66
Mu 0.05 , Eta 5.0, Gamma 1.5 -        INCE: Exact -     20news [K0-beta (200,  0.67), alpha 0] - 39.47 +- 2.84
Mu 0.045, Eta 6.0, Gamma 1.5 -        INCE: Exact -     20news [K0-beta (200,  0.80), alpha 1] - 38.49 +- 2.47
Mu 0.04 , Eta 6.0, Gamma 1.5 -   INCE: UpperBound -     20news [K0-beta (200,  0.67), alpha 0] - 38.65 +- 2.50
Mu 0.05 , Eta 5.0, Gamma 1.5 -   INCE: UpperBound -     20news [K0-beta (200,  0.80), alpha 1] - 39.62 +- 1.62
Mu 0.045, Eta 6.0, Gamma 1.5 -   INCE: UpperBound -     20news [K0-beta (200,  0.67), alpha 0] - 38.69 +- 1.91
